,C(=O)C,CC(=O)C,C#C,CC#C,N,CN,C(=O)O,CC(=O)O,C#N,CC#N,C1CCCCC1,CC1CCCCC1,C1CC1,CC1CC1,FCF,FC(F)C,C=C,CC=C,C1=CC=C(F)C=C1,CC1=CC=C(F)C=C1,O,CO,C(C)C,CC(C)C,OC,COC,C,CC,[N+](=O)[O-],C[N+](=O)[O-],N=O,CN=O,C1=CC=C([N+](=O)[O-])C=C1,CC1=CC=C([N+](=O)[O-])C=C1,C(F)(F)F,CC(F)(F)F,c1ccc(cc1)O,Cc1ccc(cc1)O,C1=CC=CC=C1,CC1=CC=CC=C1,C1=CNC=C1,C1=C(C)NC=C1,Cc1ccccc1,Cc1ccc(C)cc1
molwt,44.026215,58.041865,26.01565,40.0313,17.026549,31.042199,46.005479,60.021129,27.010899,41.026549,84.0939,98.10955,42.04695,56.0626,52.012457,66.028107,28.0313,42.04695,96.037528,110.053178,18.010565,32.026215,44.0626,58.07825,32.026215,46.041865,16.0313,30.04695,45.992903,61.016378,31.005814,45.021464,123.032028,137.047678,70.003035,84.018685,94.041865,108.057515,78.04695,92.0626,67.042199,81.057849,92.0626,106.07825
molwt-hvy,40.021,52.032,24.022,36.033,14.007,26.018,44.009,56.02,26.018,38.029,72.066,84.077,36.033,48.044,50.007,62.018,24.022,36.033,91.064,103.075,15.999,28.01,36.033,48.044,28.01,40.021,12.011,24.022,46.005,58.016,30.006,42.017,118.071,130.082,69.005,81.016,88.065,100.076,72.066,84.077,62.051,74.062,84.077,96.088
e-valence,18.0,24.0,10.0,16.0,8.0,14.0,18.0,24.0,10.0,16.0,36.0,42.0,18.0,24.0,20.0,26.0,12.0,18.0,36.0,42.0,8.0,14.0,20.0,26.0,14.0,20.0,8.0,14.0,17.0,24.0,12.0,18.0,46.0,52.0,26.0,32.0,36.0,42.0,30.0,36.0,26.0,32.0,36.0,42.0
balabanj,3.791118,4.398991,2.82584,3.722077,2.32379,3.541197,2.847379,3.823378,2.475534,3.552734,3.716516,3.927011,2.913119,3.090735,3.023716,4.020392,3.675949,4.399516,3.603567,3.680736,1.632993,3.16849,4.748409,5.542726,3.16849,3.746418,3.023716,4.020392,2.187496,3.791118,2.187496,3.445991,3.682463,3.773039,3.023716,4.020392,3.563758,3.672818,3.603567,3.680736,3.436146,3.468512,3.680736,3.785534
bertzct,82.180809,124.052368,40.793988,100.328877,8.0,53.590719,42.912609,94.701658,26.264663,75.774438,247.705275,410.729101,105.852638,197.587975,23.119415,67.01955,55.617271,125.728624,230.203225,379.775332,2.754888,37.302969,120.39661,165.593463,37.302969,76.211433,19.119415,61.509775,10.264663,85.425922,12.264663,56.303763,390.16827,466.971181,22.364528,67.509775,320.463093,394.370607,226.30309,375.426816,184.797706,310.132593,375.426816,406.116876
ipc,17.086166,63.579808,6.854753,18.141709,3.245112,17.086166,9.651484,35.647376,2.754888,12.164797,2781.789193,9184.693206,69.83327,254.458072,3.60964,21.306059,13.60964,50.070311,416.314365,1235.837423,2.754888,12.164797,88.551982,312.080511,12.164797,27.435741,3.60964,21.306059,2.754888,17.086166,2.754888,12.164797,971.550388,2886.987268,3.60964,21.306059,701.867737,2085.250282,416.314365,1235.837423,174.102666,532.649695,1235.837423,3673.145375
hk-alpha,-0.33,-0.33,-0.44,-0.44,-0.04,-0.04,-0.53,-0.53,-0.51,-0.51,0.0,0.0,0.0,0.0,-0.14,-0.14,-0.26,-0.26,-0.8500000000000001,-0.8500000000000001,-0.04,-0.04,0.0,0.0,-0.04,-0.04,0.0,0.0,-0.6000000000000001,-0.6000000000000001,-0.4,-0.4,-1.38,-1.38,-0.21000000000000002,-0.21000000000000002,-0.98,-0.98,-0.78,-0.78,-0.7200000000000001,-0.7200000000000001,-0.78,-0.78
hk-kappa1,0.231621,0.348057,0.074648,0.20153,0.000175,0.050852,0.443274,0.505725,0.161141,0.274207,0.462963,0.571429,0.148148,0.25,0.664075,0.670921,0.042409,0.138474,1.312018,1.350652,0.0004,0.073424,0.12,0.213018,0.073424,0.179464,0.0,0.040816,2.4,0.671605,0.225,0.314556,2.096777,2.051423,2.053852,1.492363,1.050014,1.127691,0.738431,0.83817,0.534682,0.641394,0.83817,0.942002
hk-kappa2,1.67,1.044532,0.56,1.56,-27.04,0.96,1.47,0.874858,0.49,1.49,2.222222,2.34375,0.222222,0.48,1.86,1.20965,0.74,1.74,1.734967,1.948262,-27.04,0.96,2.0,1.333333,0.96,1.96,0.0,0.0,1.4,0.816667,0.6,1.6,2.259334,2.473197,1.148423,0.880016,1.646196,1.864622,1.605769,1.783286,0.930799,1.167541,1.783286,1.993745
hk-kappa3,1.67,6.883958,-4.712727,1.56,-104.04,-27.04,1.47,1.156009,-4.470784,1.49,1.0,1.5,0.0,0.222222,1.86,70.186531,-6.106154,1.74,0.999577,1.059403,-104.04,-27.04,0.0,0.0,-27.04,1.96,0.0,0.0,1.4,0.622222,-4.9,1.6,1.252832,1.31284,25.33195,275.363696,0.929059,0.997109,0.582399,1.038264,0.293364,0.432339,1.038264,1.093537
chi0,6.07735,8.57735,3.414214,5.914214,3.57735,6.07735,4.284457,6.784457,2.707107,5.207107,15.0,17.5,7.5,10.0,4.5,7.0,5.154701,7.654701,9.464102,11.964102,2.707107,5.207107,9.5,12.0,5.207107,7.707107,4.5,7.0,2.707107,6.07735,2.707107,5.207107,11.041452,13.541452,4.5,7.0,10.171208,12.671208,9.464102,11.964102,7.886751,10.386751,11.964102,14.464102
chi1,2.943376,4.154701,1.914214,3.06066,1.732051,2.943376,2.270056,3.48138,1.414214,2.56066,7.5,8.75,3.75,5.0,2.0,3.25,2.642734,3.854059,5.464102,6.675426,1.414214,2.56066,4.5,5.75,2.56066,3.707107,2.0,3.25,1.414214,2.943376,1.414214,2.56066,6.374785,7.58611,2.0,3.25,6.002106,7.213431,5.464102,6.675426,4.553418,5.764743,6.675426,7.886751
chi0n,5.408248,7.908248,3.0,5.5,3.447214,5.947214,3.316497,5.816497,1.947214,4.447214,15.0,17.5,7.5,10.0,3.255929,5.755929,5.0,7.5,8.377964,10.877964,2.408248,4.908248,9.5,12.0,4.908248,7.408248,4.5,7.0,1.26371,4.76371,1.855462,4.355462,9.26371,11.76371,2.633893,5.133893,9.408248,11.908248,9.0,11.5,7.447214,9.947214,11.5,14.0
chi1n,2.454124,3.704124,1.25,2.5,1.341641,2.618034,1.316497,2.566497,0.723607,1.973607,7.5,8.75,3.75,5.0,1.377964,2.627964,2.25,3.5,4.188982,5.438982,0.816497,2.112372,4.5,5.75,2.112372,3.408248,2.0,3.25,0.365148,2.088755,0.629788,1.906181,4.588755,5.838755,1.066947,2.316947,4.612372,5.862372,4.5,5.75,3.644427,4.894427,5.75,7.0
chi2n,0.102062,0.329124,0.0,0.125,0.0,0.0,0.083333,0.287457,0.0,0.111803,0.75,1.0,0.375,0.625,0.071429,0.260411,0.0,0.125,0.938982,1.188982,0.0,0.0,0.125,0.375,0.0,0.102062,0.0,0.0,0.074536,0.25711,0.0,0.091287,1.230717,1.480717,0.214286,0.497759,0.954124,1.204124,0.75,1.0,0.58541,0.822214,1.0,1.25
chi3n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.125,0.25,0.0,0.0,0.0,0.0,0.469491,0.594491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.669378,0.794378,0.0,0.0,0.477062,0.602062,0.375,0.5,0.286107,0.404508,0.5,0.625
chi4n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.25,0.0,0.03125,0.0,0.0,0.0,0.0,0.234746,0.297246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334689,0.397189,0.0,0.0,0.238531,0.301031,0.1875,0.25,0.139754,0.198955,0.25,0.3125
chi0v,1.408248,1.908248,1.0,1.5,0.447214,0.947214,1.316497,1.816497,0.947214,1.447214,3.0,3.5,1.5,2.0,1.255929,1.755929,1.0,1.5,3.377964,3.877964,0.408248,0.908248,1.5,2.0,0.908248,1.408248,0.5,1.0,1.26371,1.76371,0.855462,1.355462,4.26371,4.76371,1.633893,2.133893,3.408248,3.908248,3.0,3.5,2.447214,2.947214,3.5,4.0
chi1v,0.454124,0.704124,0.25,0.5,0.0,0.223607,0.408248,0.658248,0.223607,0.473607,1.5,1.75,0.75,1.0,0.377964,0.627964,0.25,0.5,1.688982,1.938982,0.0,0.204124,0.5,0.75,0.204124,0.408248,0.0,0.25,0.365148,0.588755,0.182574,0.406181,2.088755,2.338755,0.566947,0.816947,1.704124,1.954124,1.5,1.75,1.197214,1.447214,1.75,2.0
chi2v,0.102062,0.329124,0.0,0.125,0.0,0.0,0.083333,0.287457,0.0,0.111803,0.75,1.0,0.375,0.625,0.071429,0.260411,0.0,0.125,0.938982,1.188982,0.0,0.0,0.125,0.375,0.0,0.102062,0.0,0.0,0.074536,0.25711,0.0,0.091287,1.230717,1.480717,0.214286,0.497759,0.954124,1.204124,0.75,1.0,0.58541,0.822214,1.0,1.25
chi3v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.125,0.25,0.0,0.0,0.0,0.0,0.469491,0.594491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.669378,0.794378,0.0,0.0,0.477062,0.602062,0.375,0.5,0.286107,0.404508,0.5,0.625
chi4v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.25,0.0,0.03125,0.0,0.0,0.0,0.0,0.234746,0.297246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334689,0.397189,0.0,0.0,0.238531,0.301031,0.1875,0.25,0.139754,0.198955,0.25,0.3125
logP,0.2052,0.5953,0.2494,0.6395,0.162,-0.4251,-0.2992,0.0909,0.13978,0.52988,2.3406,2.5866,1.1703,1.4163,0.8829,1.2714,0.8022,1.1923,1.8257,2.13412,-0.8247,-0.3915,1.4163,1.6623,-0.3915,0.2626,0.6361,1.0262,-0.4136,-0.1071,0.33157,0.3826,1.5948,1.90322,1.1785,1.5686,1.3922,1.70062,1.6866,1.99502,1.0147,1.32312,1.99502,2.30344
MR,11.738,16.355,9.89,14.507,5.0221,10.1114,8.6928,13.3098,6.67,11.287,27.702,32.249,13.851,18.398,7.083,11.678,11.254,15.871,26.4,31.137,3.6138,8.1428,15.965,20.512,8.1428,12.933,6.731,11.348,8.868,12.9184,6.0867,11.719,33.0964,37.8334,7.112,11.729,28.1068,32.8438,26.442,31.179,20.7927,25.5297,31.179,35.916
rbonds,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0
nheavy,3.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,3.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0,7.0,8.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,3.0,9.0,10.0,4.0,5.0,7.0,8.0,6.0,7.0,5.0,6.0,7.0,8.0
tpsa,17.07,17.07,0.0,0.0,35.0,26.02,37.3,37.3,23.79,23.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,20.23,0.0,0.0,20.23,9.23,0.0,0.0,54.23,43.14,40.92,29.43,43.14,43.14,0.0,0.0,20.23,20.23,0.0,0.0,15.79,15.79,0.0,0.0
labuteASA,24.885597,34.06048,16.91336,26.088243,11.89331,21.220107,20.591618,29.766501,14.536801,23.711684,56.417776,65.59266,28.893127,38.06801,19.880263,29.055146,20.034472,29.209355,48.621791,57.796674,9.832513,19.240037,32.708899,41.883782,19.240037,28.647561,14.359133,23.534016,16.817313,27.607138,13.322097,22.648895,59.109231,68.284114,22.640828,31.815711,50.74213,59.917013,45.861226,55.036109,37.723473,46.898356,55.036109,64.210992
pbf,0.39855296,0.610610507,0.255089895,0.348280781,0.130069822,0.40980485499999997,0.2361916,0.468742517,0.0,0.324740929,0.664439447,0.73734077,0.631731802,0.70114888,0.385277286,0.548238844,0.40763568299999997,0.599698176,0.478114264,0.259562495,0.0,0.40272618500000007,0.6165194340000001,0.622958394,0.404084673,0.506628417,0.442887096,0.507571629,0.0,0.337609873,0.0,0.39841011099999996,0.35608651599999996,0.747436331,0.483681492,0.5664458889999999,0.29551683,0.49072246099999994,0.075371858,0.251446921,0.114367262,0.2823769589999999,0.277945972,0.7379017399999999
pmi1,9.374126215,47.331493317,0.00031840199999999996,3.30615045,1.7245610860000002,5.051980974,7.029570491,46.079586002,0.000184387,3.304676259,112.10082031799999,121.931771924,24.728379058999998,32.631009976,10.444588815,54.396616765,3.492389855,11.452358215,86.817819712,88.463805467,0.584565804,4.045845084,17.868732147000003,61.560347089000004,4.047401679,12.874958007,3.2082823310000004,6.552222417000001,4.154317682,42.803927834,0.6832500629999999,6.841754090999999,125.802002297,128.49581616700002,51.42821974,97.358033777,86.668911997,88.865738376,85.35416892299999,88.605967734,52.743090082,58.424195183,88.61561176400001,91.46642620700001
pmi2,47.770042662,59.71437611700001,14.402652483999999,59.547202988,1.808319405,21.629834407,44.896026348,55.82918325600001,11.409401141,54.813235987,114.625626418,215.033439193,25.380070116,78.255176123,49.735427244,57.877549809,16.376706085,51.26976718700001,198.364802454,355.490488291,1.3186541360000001,19.814356568,57.05911048800001,65.385705879,19.809967902,48.808546222,3.2879744010000005,24.694769313000002,41.326589943,51.803676335999995,12.006660867,46.08037712,403.96530799,630.69583271,53.511000708000005,100.199261302,196.22325680699998,348.829706252,88.868134656,197.83947127899998,56.036786748,143.28815719499997,197.82630850799998,346.31843327499996
pmi3,53.810663321,100.394573748,14.402900742999998,59.662874857000006,2.931563521,22.794282735,50.89752683099999,97.52488078500002,11.409585535,54.900709636,194.14047287999998,292.07636418399994,39.798010016,88.69567055000002,56.886307019,100.316669238,19.869095953,59.396175611,285.182622165,440.676939974,1.9032199690000002,20.562288013999996,65.087805069,108.594298651,20.562779070999998,55.076859933,3.3544176980000002,24.864403949,45.480907614,91.285762231,12.689910906000001,49.63320319,529.767310217,755.903539793,96.343148453,102.70703613200001,281.62625348200004,433.058857071,174.222303584,283.162193491,108.77987681399999,198.40184109,283.152413328,431.191389636
npr1,0.17434482699999998,0.47147102,2.2117000000000002e-05,0.055415725,0.588518345,0.221639264,0.13819981,0.472510146,1.6131e-05,0.060198539999999995,0.577630255,0.419844968,0.621346992,0.36797123699999995,0.183679855,0.5422844729999999,0.17581668,0.192895102,0.30445930899999996,0.200765936,0.307147925,0.196756866,0.274786591,0.566896069,0.196829731,0.233963615,0.956524718,0.263526903,0.091426108,0.468925206,0.053852822,0.137980345,0.237491186,0.17001273700000002,0.533836473,0.947950775,0.30777249000000007,0.20522120100000002,0.489912509,0.312934844,0.484862769,0.294504071,0.31298118799999997,0.21214453600000002
npr2,0.8876261990000001,0.594784932,0.9999827720000001,0.9980615780000001,0.6170838779999999,0.948919417,0.8820209769999999,0.572457402,0.9999838690000001,0.998406474,0.590699999,0.736729966,0.6377087760000001,0.882316899,0.874231169,0.577021547,0.82418332,0.863111631,0.695540691,0.8066713919999999,0.692852075,0.9636403990000001,0.8764518880000001,0.6022124299999999,0.963399095,0.8860152370000001,0.980270987,0.9931825,0.908573892,0.5674684969999999,0.9461471779999999,0.928303882,0.7625088139999999,0.8343374560000001,0.555426314,0.9756556520000002,0.6967240610000001,0.8054862460000001,0.510087491,0.698660171,0.5151372310000001,0.7221833130000002,0.698636479,0.803147395
rg,1.12216751,1.3363391759999999,0.7437326129999999,1.2365101260000002,0.43564065999999996,0.8924639529999999,1.0568689470000001,1.288600129,0.649735253,1.1732288509999997,1.5812080179999999,1.78958916,1.033554923,1.333613011,1.060706278,1.2685742599999998,0.8415560230000001,1.204550718,1.722617653,2.004053242,0.325030474,0.8325728429999999,1.259958749,1.423427301,0.8325525399999999,1.125688392,0.5540800349999999,0.965922186,0.994266052,1.233975167,0.6396557009999999,1.0669672860000001,2.0743961960000004,2.3502957570000005,1.198931615,1.336572313,1.731799278,2.006494721,1.493436788,1.7581068779999998,1.2733283610000001,1.570419304,1.758086005,2.022973557
isf,0.094898686,0.012585667999999998,3220.5524816800003,0.301953212,0.357859233,0.187921783,0.125949642,0.012438599,3378.017342427,0.302175324,0.005270978000000001,0.006057753,0.025791146000000004,0.027049680000000003,0.08378199,0.010611602999999999,0.236135994,0.075457356,0.008014875999999999,0.009120425,1.1919648499999997,0.238357459,0.04916740900000001,0.009787193999999999,0.238199422,0.069127766,0.305573059,0.15160039899999997,0.219812592,0.013270314,1.3906336469999998,0.13647454199999998,0.006062253,0.006494016,0.010801811000000001,0.010022589,0.008041603999999999,0.009065446,0.005977063,0.007886957,0.009768635,0.012364059999999998,0.00788591,0.008782208000000001
eccentricity,0.9846342010000001,0.881735867,1.0,0.998462957,0.808190079,0.9751102389999999,0.990363516,0.88121,1.0,0.998185962,0.816211378,0.905967196,0.7835094269999999,0.929783437,0.982961036,0.8401573410000001,0.984409051,0.981188634,0.9525019100000001,0.9796324790000001,0.9514510669999999,0.980440969,0.961363459,0.823754868,0.980425972,0.9721126489999999,0.288884914,0.9646460239999999,0.995785928,0.8831428879999998,0.99854268,0.990366524,0.971380843,0.985437112,0.8455604080000001,0.317359855,0.951439569,0.978710028,0.871759492,0.9497595729999999,0.874576086,0.9556346640000001,0.9497436250000001,0.9772317439999999
asphericity,0.566202524,0.215448719,0.999933677,0.844642459,0.130939068,0.483004391,0.6421725890000001,0.22574111599999996,0.999951592,0.832246804,0.147574346,0.22161155800000001,0.107792179,0.267914121,0.547503011,0.17364368300000002,0.565363904,0.52975894,0.36483003299999994,0.5178158949999999,0.362665636,0.52911284,0.390939789,0.147689435,0.528946985,0.45675396999999995,0.000751356,0.42213301400000003,0.750951632,0.231303617,0.8471789630000001,0.643448428,0.45678124800000003,0.576342355,0.190420817,0.001048572,0.35970683299999995,0.5094759799999999,0.250353428,0.35181017,0.250744241,0.37274244599999995,0.351754402,0.496786262
spherocity,0.3594650000000001,0.34863700000000003,0.0,0.22928900000000005,0.09906400000000004,0.4477149999999999,0.087291,0.297695,0.0,0.42389200000000016,0.469385,0.37739000000000006,0.752917,0.5782260000000001,0.8245009999999997,0.6188640000000001,0.0,0.19356600000000002,0.0,0.061487999999999994,0.0,0.577332,0.4926060000000001,0.4442320000000002,0.5333069999999998,0.4216179999999998,0.9525780000000004,0.6140930000000003,0.0,0.327807,0.0,0.4822389999999999,0.0,0.042569,0.7648510000000001,0.688156,0.0,0.06721200000000002,0.0,0.060809,0.0,0.08268300000000002,0.06424799999999999,0.08115199999999999
pc+,0.312461,0.312268,0.247089,0.233533,0.343926,0.352771,0.739791,0.734254,0.201967,0.198658,0.319836,0.367602,0.159918,0.207684,0.428372,0.42529,0.212622,0.245501,0.440442,0.462666,0.41151,0.39963,0.190329,0.239098,0.39963,0.387928,0.077558,0.136525,0.387211,0.529675,0.238979,0.2245,0.689261,0.712008,0.522672,0.514545,0.727613,0.749836,0.373611,0.395819,0.457093,0.475865,0.395819,0.418026
